U,V,ybar,yhat
1,1,0.6730769230769231,0.6536429973359682
1,2,0.6538461538461539,0.6515028735606406
1,3,0.7222222222222222,0.6524305861658899
1,4,0.6002747252747253,0.6327843115967494
2,1,0.6593406593406593,0.6589042330470661
2,2,0.6538461538461539,0.6565921280711257
2,3,0.6978021978021978,0.64254912987334
2,4,0.6936813186813187,0.6531264010666884
3,1,0.6944444444444445,0.6762318660106907
3,2,0.6195054945054945,0.6732522587075238
3,3,0.6016483516483516,0.6558694029844392
3,4,0.6311188811188811,0.6612579793548045
4,1,0.5909090909090909,0.6415352016609089
4,2,0.7243589743589743,0.6542689457147219
4,3,0.6695804195804196,0.6391145088769973
4,4,0.6752136752136753,0.6451640926266434
